1928年(民国十七年)10月31日,上海,黄宾虹,俭德储蓄会众人,演讲/交流,受邀在俭德储蓄会发表《中国美术之商略》主题演讲,1928年10月30日《申报》,不详,,,,,,,
1928年(民国十七年)11月,上海,黄宾虹,谢玉岑,游历/偶遇,前往无锡途中，在太湖之畔与谢玉岑相遇,谢玉岑致高燮书信,不详,,,,,,,
1928年(民国十七年)11月7日,上海,黄宾虹,秋英会同人,艺术/展览,参加秋英会第一次展览会，会后参与合作纪念画作,1928年11月《申报》,不详,,,,,,,
1928年(民国十七年)冬,上海,黄宾虹,许家栻,艺术/创作,为许家栻绘制山水作品并落款,作品题款,不详,,,,,,,
时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置,,,,,,,
1928年(民国十七年 戊辰)冬,上海,黄宾虹,无,艺术/创作,创作《桂林山水图》，自题“戊辰冬，黄宾虹写”落款，该作品为广西之行写生所得，笔墨苍润、意境深远,拍卖图录档案,不详,,,,,,,
1928年(民国十七年 戊辰)12月,上海,黄宾虹,神州国光社同人,出版/任职,正式接手神州国光社的编辑与管理工作，担任该社总编辑，负责美术类书籍、画册的编辑出版事宜,相关出版史料,不详,,,,,,,
1929年(民国十八年 己巳)春,上海,黄宾虹,无,艺术/理论,发表《改良国画问题之检讨》一文，系统阐述对国画改良的见解，强调国画的发展必须立足于传统笔墨精神，不能盲目照搬西方绘画形式,1929年相关报刊、《黄宾虹文集》,不详,,,,,,,
1929年(民国十八年 己巳)4月,上海,黄宾虹,蔡元培、林风眠等,评审/展览,担任全国美术展览会中国画部审查委员，参与展会的作品评审、评选工作,1929年4月《申报》《时报》相关报道,不详,,,,,,,
1929年(民国十八年 己巳)5月,上海,黄宾虹,张善孖、张大千,社交/雅集,与张善孖、张大千兄弟相聚，交流画艺，合作创作书画作品,1929年5月《申报》相关报道,不详,,,,,,,
1929年(民国十八年 己巳)夏,上海,黄宾虹,无,艺术/创作,创作《黄山纪游图》长卷，自题“己巳夏，黄宾虹写”落款，该作品为黄山写生所得，是其“浑厚华滋”风格的代表作品之一,拍卖图录档案,不详,,,,,,,
1929年(民国十八年 己巳)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界举办的赈灾义卖活动，创作书画作品用于赈济灾区,1929年7月《申报》相关报道,不详,,,,,,,
1929年(民国十八年 己巳)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的工作情况，同时交流书画创作、金石研究的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1929年(民国十八年 己巳)10月,上海,黄宾虹,无,出版/撰文,在《东方杂志》发表《中国画学之新发展》一文，探讨中国画学的当代发展方向,1929年10月《东方杂志》,不详,,,,,,,
1929年(民国十八年 己巳)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十子黄映川出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1930年(民国十九年 庚午)春,上海,黄宾虹,无,艺术/创作,创作《漓江山水图册》十二帧，自题“庚午春，黄宾虹写”落款，该册页为广西之行写生整理所得，每帧均有题诗,拍卖图录档案,不详,,,,,,,
1930年(民国十九年 庚午)3月,上海,黄宾虹,上海美专同人,学业/任职,继续担任上海美术专科学校国画教授，同时担任该校国画系主任，负责国画专业的教学与管理工作,《上海美专校史》,不详,,,,,,,
1930年(民国十九年 庚午)5月,上海,黄宾虹,无,出版/著述,所著《画学通论》由神州国光社正式出版，该书系统阐述中国传统绘画的理论体系，是其画学思想的核心著作,相关出版史料,不详,,,,,,,
1930年(民国十九年 庚午)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览苏州、无锡，沿途写生，交流画艺,相关交游史料,不详,,,,,,,
1930年(民国十九年 庚午)7月,上海,黄宾虹,无,艺术/理论,发表《论画笔墨》一文，系统阐述中国绘画的笔墨技法与精神内涵,1930年相关报刊、《黄宾虹文集》,不详,,,,,,,
1930年(民国十九年 庚午)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与金石拓本，二人交流金石收藏、书画创作的心得,蔡守、谈月色往来书信,不详,,,,,,,
1930年(民国十九年 庚午)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印》十卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1930年(民国十九年 庚午)冬,上海,黄宾虹,无,艺术/创作,创作《秋山图》，自题“庚午冬，黄宾虹写”落款，该作品为浅绛山水，笔墨苍劲、意境悠远,作品题跋档案,不详,,,,,,,
1931年(民国二十年 辛未)春,上海,黄宾虹,无,艺术/创作,创作《黄山松云图》长卷，自题“辛未春，黄宾虹写”落款，该作品是其黄山题材的经典之作,拍卖图录档案,不详,,,,,,,
1931年(民国二十年 辛未)3月,上海,黄宾虹,无,出版/撰文,在《艺观》杂志复刊号发表《画学散记》续篇，继续阐述其画学理论,1931年《艺观》杂志复刊号,不详,,,,,,,
1931年(民国二十年 辛未)5月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1931年5月《申报》相关报道,不详,,,,,,,
1931年(民国二十年 辛未)夏,上海,黄宾虹,无,艺术/创作,创作《新安江泛舟图》，自题“辛未夏，黄宾虹写”落款，该作品以新安江山水为题材，笔墨苍润,作品题跋档案,不详,,,,,,,
1931年(民国二十年 辛未)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的出版计划，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1931年(民国二十年 辛未)10月,上海,黄宾虹,无,出版/著述,所著《古印概论》由神州国光社出版，该书系统阐述古印的源流、艺术价值与鉴赏方法,相关出版史料,不详,,,,,,,
1931年(民国二十年 辛未)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十一子黄映池出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1932年(民国二十一年 壬申)春,上海,黄宾虹,无,艺术/创作,创作《山水图册》八帧，自题“壬申春，黄宾虹写”落款，该册页风格多样，涵盖了其不同的笔墨技法,拍卖图录档案,不详,,,,,,,
1932年(民国二十一年 壬申)3月,上海,黄宾虹,无,出版/撰文,在《东方杂志》发表《中国画学的精神》一文，深入探讨中国画学的核心精神与文化内涵,1932年3月《东方杂志》,不详,,,,,,,
1932年(民国二十一年 壬申)5月,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1932年(民国二十一年 壬申)夏,上海,黄宾虹,无,艺术/理论,发表《论画意境》一文，系统阐述中国绘画的意境营造与审美追求,1932年相关报刊、《黄宾虹文集》,不详,,,,,,,
1932年(民国二十一年 壬申)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为东北义勇军举办的募捐义卖活动，创作书画作品捐献,1932年7月《申报》相关报道,不详,,,,,,,
1932年(民国二十一年 壬申)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与画作，二人交流书画创作、金石收藏的心得,蔡守、谈月色往来书信,不详,,,,,,,
1932年(民国二十一年 壬申)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画》六卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1932年(民国二十一年 壬申)冬,上海,黄宾虹,无,艺术/创作,创作《雪山图》，自题“壬申冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不详,,,,,,,
1933年(民国二十二年 癸酉)春,上海,黄宾虹,无,艺术/创作,创作《漓江山水图》长卷，自题“癸酉春，黄宾虹写”落款，该作品为广西之行写生的经典之作,拍卖图录档案,不详,,,,,,,
1933年(民国二十二年 癸酉)3月,上海,黄宾虹,无,出版/著述,所著《画学要旨》由神州国光社出版，该书是其画学理论的精简读本，面向国画学习者,相关出版史料,不详,,,,,,,
1933年(民国二十二年 癸酉)5月,上海,黄宾虹,无,艺术/理论,发表《论画用笔》一文，系统阐述中国绘画的用笔技法与核心要义,1933年相关报刊、《黄宾虹文集》,不详,,,,,,,
1933年(民国二十二年 癸酉)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览苏州、杭州，沿途写生，交流画艺,相关交游史料,不详,,,,,,,
1933年(民国二十二年 癸酉)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为黄河水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1933年7月《申报》相关报道,不详,,,,,,,
1933年(民国二十二年 癸酉)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的工作情况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1933年(民国二十二年 癸酉)10月,上海,黄宾虹,无,出版/撰文,在《艺观》杂志发表《画学散记》第三篇，继续阐述其画学理论,1933年《艺观》杂志,不详,,,,,,,
1933年(民国二十二年 癸酉)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十二子黄映潭出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1934年(民国二十三年 甲戌)春,上海,黄宾虹,无,艺术/创作,创作《黄山纪游图册》十帧，自题“甲戌春，黄宾虹写”落款，该册页为黄山写生所得，每帧均有题诗,拍卖图录档案,不详,,,,,,,
1934年(民国二十三年 甲戌)3月,上海,黄宾虹,无,出版/著述,所著《中国画学史》由神州国光社出版，该书系统梳理中国绘画的发展历史，是其重要的学术著作,相关出版史料,不详,,,,,,,
1934年(民国二十三年 甲戌)5月,上海,黄宾虹,无,艺术/理论,发表《论画用墨》一文，系统阐述中国绘画的用墨技法与审美追求,1934年相关报刊、《黄宾虹文集》,不详,,,,,,,
1934年(民国二十三年 甲戌)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1934年(民国二十三年 甲戌)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1934年7月《申报》相关报道,不详,,,,,,,
1934年(民国二十三年 甲戌)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与金石拓本，二人交流金石收藏、书画创作的心得,蔡守、谈月色往来书信,不详,,,,,,,
1934年(民国二十三年 甲戌)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印续编》五卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1934年(民国二十三年 甲戌)冬,上海,黄宾虹,无,艺术/创作,创作《秋山行旅图》，自题“甲戌冬，黄宾虹写”落款，该作品为浅绛山水，笔墨苍劲、意境深远,作品题跋档案,不详,,,,,,,
1935年(民国二十四年 乙亥)春,上海,黄宾虹,无,艺术/创作,创作《新安江山水图》长卷，自题“乙亥春，黄宾虹写”落款，该作品是其新安江题材的经典之作,拍卖图录档案,不详,,,,,,,
1935年(民国二十四年 乙亥)3月,上海,黄宾虹,无,出版/撰文,在《东方杂志》发表《中国画学的传承与发展》一文，探讨中国画学的传承与当代发展方向,1935年3月《东方杂志》,不详,,,,,,,
1935年(民国二十四年 乙亥)5月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为黄河水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1935年5月《申报》相关报道,不详,,,,,,,
1935年(民国二十四年 乙亥)夏,上海,黄宾虹,无,艺术/理论,发表《论画构图》一文，系统阐述中国绘画的构图法则与审美追求,1935年相关报刊、《黄宾虹文集》,不详,,,,,,,
1935年(民国二十四年 乙亥)7月,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览苏州、无锡，沿途写生，交流画艺,相关交游史料,不详,,,,,,,
1935年(民国二十四年 乙亥)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的出版计划，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1935年(民国二十四年 乙亥)10月,上海,黄宾虹,无,出版/著述,所著《画学语录》由神州国光社出版，该书是其画学思想的语录体读本，内容通俗易懂,相关出版史料,不详,,,,,,,
1935年(民国二十四年 乙亥)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十三子黄映澄出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1936年(民国二十五年 丙子)春,上海,黄宾虹,无,艺术/创作,创作《黄山松云图册》八帧，自题“丙子春，黄宾虹写”落款，该册页为黄山写生所得，风格浑厚华滋,拍卖图录档案,不详,,,,,,,
1936年(民国二十五年 丙子)3月,上海,黄宾虹,无,出版/撰文,在《艺观》杂志发表《画学散记》第四篇，继续阐述其画学理论,1936年《艺观》杂志,不详,,,,,,,
1936年(民国二十五年 丙子)5月,上海,黄宾虹,无,艺术/理论,发表《论画气韵》一文，系统阐述中国绘画的气韵生动与审美追求,1936年相关报刊、《黄宾虹文集》,不详,,,,,,,
1936年(民国二十五年 丙子)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1936年(民国二十五年 丙子)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1936年7月《申报》相关报道,不详,,,,,,,
1936年(民国二十五年 丙子)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与画作，二人交流书画创作、金石收藏的心得,蔡守、谈月色往来书信,不详,,,,,,,
1936年(民国二十五年 丙子)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画续编》四卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
